"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","time_estern","uvi","mepaqi","pm1","time_estern"
"76","Division St, Aberdeen, Washington",25,96,"46.97228","-123.83173","http://aqicn.org/city/usa/washington/aberdeen/division-st/","pm25","2017-03-24 09:00:00","-07:00",8.15,87,1008,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"77","W 12th Ave, Airway Heights, Washington",37,97,"47.64476","-117.58913","http://aqicn.org/city/usa/washington/airway-heights/w-12th-ave/","pm25","2017-03-24 09:00:00","-07:00",3.65,86,1012,16,NA,NA,37,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"78","Bartholomew Rd, Anacortes, Washington",24,99,"48.4654","-122.56","http://aqicn.org/city/usa/washington/anacortes/bartholomew-rd/","o3","2017-03-24 08:00:00","-07:00",6.49,81,1006,NA,NA,NA,1,NA,24.1,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"79","Bellevue Way, Bellevue, Washington",17,100,"47.61311","-122.20161","http://aqicn.org/city/usa/washington/bellevue/bellevue-way/","o3","2017-03-24 09:00:00","-07:00",7.98,100,1009,NA,NA,35.2,5,5.9,16.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"80","Yew St, Bellingham, Washington",22,101,"-122.44028","48.76278","http://aqicn.org/city/usa/washington/bellingham/yew-st/","o3","2017-03-24 08:00:00","-07:00",7.82,81,1006,9,0.1,7.7,3,0.1,21.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"81","Spruce Ave, Bremerton, Washington",13,102,"47.592675","-122.62739","http://aqicn.org/city/usa/washington/bremerton/spruce-ave/","pm25","2017-03-24 09:00:00","-07:00",8.32,81,1006,NA,NA,20.4,13,2.4,8.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"82","Cheeka Peak, Washington",35,103,"48.29786","-124.62491","http://aqicn.org/city/usa/washington/cheeka-peak/","o3","2017-03-24 09:00:00","-07:00",-17.8,87,1006,NA,1.5,NA,4,1.5,35.2,5.5,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"83","Market Blvd, Chehalis, Washington",8,104,"-122.96732","46.66409","http://aqicn.org/city/usa/washington/chehalis/market-blvd/","pm25","2017-03-24 09:00:00","-07:00",7.98,87,1008,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"84","13th St, Clarkston, Washington",26,105,"46.425416","-117.060445","http://aqicn.org/city/usa/washington/clarkston/13th-st/","pm25","2017-03-24 09:00:00","-07:00",6.44333333333333,66.6666666666667,1013,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"85","Greenbluff Rd, Colbert, Washington",30,106,"-117.34327","47.8082264","http://aqicn.org/city/usa/washington/colbert/greenbluff-rd/","pm25","2017-03-24 09:00:00","-07:00",2.98,93,1012,16,NA,NA,30,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"86","Oak St S, Colville, Washington",42,107,"48.54296","-117.90326","http://aqicn.org/city/usa/washington/colville/oak-st-s/","pm10",NA,"2016-12-05 17:00:00",-3,68,1018,42,NA,NA,35,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"87","Loomis, Custer, Washington",19,108,"48.95074","-122.55441","http://aqicn.org/city/usa/washington/custer/loomis/","o3","2017-03-24 09:00:00","-07:00",6.49,81,1006,5,0.1,4.6,5,0.1,19.2,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
